id	rule
Complex1ROS	ENSG00000004779 and ENSG00000023228 and ENSG00000065518 and ENSG00000090266 and ENSG00000099795 and ENSG00000109390 and ENSG00000110717 and ENSG00000115286 and ENSG00000119013 and ENSG00000119421 and ENSG00000125356 and ENSG00000128609 and ENSG00000130414 and ENSG00000131495 and ENSG00000136521 and ENSG00000139180 and ENSG00000140990 and ENSG00000147123 and ENSG00000147684 and ENSG00000151366 and ENSG00000158864 and ENSG00000165264 and ENSG00000166136 and ENSG00000167792 and ENSG00000168653 and ENSG00000170906 and ENSG00000174886 and ENSG00000178127 and ENSG00000183648 and ENSG00000184983 and ENSG00000186010 and ENSG00000198695 and ENSG00000198763 and ENSG00000198786 and ENSG00000198840 and ENSG00000198886 and ENSG00000198888 and ENSG00000212907 and ENSG00000213619
FADH2ETC	ENSG00000171503 and ENSG00000105379 and ENSG00000140374
CYOR_u10mi	ENSG00000010256 and ENSG00000127540 and ENSG00000140740 and ENSG00000156467 and ENSG00000164405 and ENSG00000169021 and ENSG00000173660 and ENSG00000179091 and ENSG00000184076 and ENSG00000198727
CYOOm2i	ENSG00000127184 and ENSG00000135940 and ENSG00000164919 and ENSG00000178741 and ENSG00000198712 and ENSG00000198804 and ENSG00000198938 and ( ENSG00000111775 or ENSG00000156885 ) and ( ENSG00000112695 or ENSG00000161281 ) and ( ENSG00000126267 or ENSG00000160471 ) and ( ENSG00000131055 or ENSG00000131143 ) and ( ENSG00000131174 or ENSG00000170516 ) and ( ENSG00000176340 or ENSG00000187581 )
ATPS4mi	ENSG00000099624 and ENSG00000110955 and ENSG00000116459 and ENSG00000124172 and ENSG00000152234 and ENSG00000154723 and ENSG00000165629 and ENSG00000167283 and ENSG00000167863 and ENSG00000169020 and ENSG00000198899 and ENSG00000228253 and ENSG00000241468 and ENSG00000241837 and ( ENSG00000135390 or ENSG00000154518 or ENSG00000159199 )
GLUCYS	ENSG00000001084 and ENSG00000023909
GTHS	ENSG00000100983
SPODMm	ENSG00000112096
GTHPi	ENSG00000117450 or ENSG00000167468 or ENSG00000167815 or ENSG00000176153 or ENSG00000233276
GTHPm	ENSG00000165672 or ENSG00000167468 or ENSG00000233276
GDR	ENSG00000104687
GTHOr	ENSG00000104687
GDRm	ENSG00000104687
GTHOm	ENSG00000104687
r0885	ENSG00000183048
PYRt2m	ENSG00000060762 or ENSG00000143158 or ENSG00000155380
HMR_4964	ENSG00000100075
r2420	ENSG00000075415
ATPtm	ENSG00000005022 or ENSG00000151729 or ENSG00000169100
FUMtm	ENSG00000183048
CO2tm	
O2tm	
r0801	ENSG00000169100
THD1m	ENSG00000112992
H2Otm	ENSG00000103375
NH4tm	
HCO3E	ENSG00000074410 or ENSG00000104267 or ENSG00000107159 or ENSG00000118298 or ENSG00000131686 or ENSG00000133742 or ENSG00000164879 or ENSG00000167434 or ENSG00000168748 or ENSG00000185015
HCO3Em	ENSG00000169239 or ENSG00000174990
GLUN	ENSG00000115419
GLNS	ENSG00000135821 or ENSG00000146166
GLUt2m	ENSG00000177542 or ENSG00000182902
GLNtm_1	
GLUNm	ENSG00000115419 or ENSG00000135423
GLUPRT	ENSG00000128059
PRAGSr	ENSG00000159131
GARFT	ENSG00000159131
PRFGS	ENSG00000178921
PRAIS	ENSG00000159131
AIRCr	ENSG00000128050
PRASCSi	ENSG00000128050
ADSL2r	ENSG00000239900
AICART	ENSG00000138363
IMPC	ENSG00000138363
ADSS	ENSG00000035687 or ENSG00000185100
ADSL1r	ENSG00000239900
IMPDH2	ENSG00000106348 or ENSG00000178035
GMPS	ENSG00000163655
GMPS2	ENSG00000163655
GK1	ENSG00000143774
RNDR2	ENSG00000167325 and ( ENSG00000048392 or ENSG00000171848 )
ADK1	ENSG00000004455 or ENSG00000106992 or ENSG00000140057 or ENSG00000154027
RNDR1	ENSG00000167325 and ( ENSG00000048392 or ENSG00000171848 )
CBPS	ENSG00000084774
ASPCT	ENSG00000084774
DHORTS	ENSG00000084774
DHORD9	ENSG00000102967
ORPT	ENSG00000114491
OMPDC	ENSG00000114491
UMPK	ENSG00000162368
RNDR4	ENSG00000167325 and ( ENSG00000048392 or ENSG00000171848 )
TMDS	ENSG00000176890
URIDK2r	ENSG00000168393
NDPK2	ENSG00000103024 or ENSG00000143156 or ENSG00000172113 or ( ENSG00000239672 and ENSG00000243678 )
NDPK3	ENSG00000103024 or ENSG00000143156 or ENSG00000172113 or ( ENSG00000239672 and ENSG00000243678 )
CYTK1	ENSG00000162368
CTPS1	ENSG00000047230 or ENSG00000171793
RNDR3	ENSG00000167325 and ( ENSG00000048392 or ENSG00000171848 )
GDHm	ENSG00000148672 or ENSG00000182890
GLUDym	ENSG00000148672 or ENSG00000182890
ASPTA	ENSG00000120053
ASPTAm	ENSG00000125166
ASPGLUm	ENSG00000004864 or ENSG00000115840
ASPT	ENSG00000091483
CBPSam	ENSG00000021826
OCBTm	ENSG00000036473
ORNt4m	ENSG00000102743 or ENSG00000120329
ARGSS	ENSG00000130707
ARGSL	ENSG00000126522
ARGN	ENSG00000118520
ORNDC	ENSG00000115758
SPMS	ENSG00000116649
SPRMS	ENSG00000102172 or ENSG00000116649
ADMDC	ENSG00000123505
MTAP	ENSG00000099810
ADPT	ENSG00000198931
MTRI	
MDRPD	ENSG00000103375 or ENSG00000135517 or ENSG00000161798 or ENSG00000167580 or ENSG00000171885 or ENSG00000240583
DKMPPD	
SPMDtex2	
SPRMti	
GLYAMDTRc	ENSG00000171766
ARGDr	
r0074	ENSG00000159423
GLU5SAtmc	
G5SADs	ENSG00000159423
PRO1x	ENSG00000143811
P5CR	ENSG00000143811
PROD2	ENSG00000250799
EXRiboflavin	
RBFK	ENSG00000135002
FMNAT	ENSG00000160688
TransportFAD	
ASNS1	ENSG00000070669
ASNN	ENSG00000162174 or ENSG00000166183
METS	ENSG00000116984
METAT	ENSG00000151224 or ( ENSG00000038274 and ENSG00000168906 )
HMR_3915	
AHCi	ENSG00000103375 or ENSG00000135517 or ENSG00000161798 or ENSG00000167580 or ENSG00000171885 or ENSG00000240583
ADNK1	ENSG00000156110
CYSTS	ENSG00000160200
CYSTGL	ENSG00000116761
MTHFR3	ENSG00000177000
MetSynthesis	
UNK3	
5MTHFt	ENSG00000110195 or ENSG00000110203
ILETA	ENSG00000060982
3MOPt2im	
ILETAm	ENSG00000105552
LEUTA	ENSG00000060982
4MOPt2im	
LEUTAm	ENSG00000105552
OIVD1m	ENSG00000083123 and ENSG00000091140 and ENSG00000137992 and ENSG00000248098
ACOAD8m	ENSG00000128928
MCCCrm	ENSG00000078070 and ENSG00000131844
MGCHrm	ENSG00000148090
HMGCOAtm	
VALTA	ENSG00000060982
3MOBt2im	
VALTAim	ENSG00000105552
OIVD2m	ENSG00000083123 and ENSG00000091140 and ENSG00000137992 and ENSG00000248098
ACOAD9m	ENSG00000117054 or ENSG00000151498
ECOAH12m	ENSG00000127884 or ( ENSG00000084754 and ENSG00000138029 )
3HBCOAHLm	
HIBDm	ENSG00000106049
r0643	ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904
MMSAD1m	ENSG00000119711
MMTSADm	
PCC	
MMALH	
MMEm	ENSG00000124370
MMMm	ENSG00000146085
ILEtmi	
LEUt5m	
VALt5m	
PGCD	ENSG00000092621
PSERT	ENSG00000135069
PSP_L	ENSG00000146733
GHMT2r	ENSG00000176974
SERD_L	ENSG00000135094 or ENSG00000139410
ALATA_L	ENSG00000166123 or ENSG00000167701
r1435	
GLYtm	
GHMT2rm	ENSG00000182199
MLTHFtm	
r0962	ENSG00000164933
FORtm	
r0514	ENSG00000228716
DHFRim	ENSG00000228716
FTHFLmi	ENSG00000100714 or ENSG00000120254
MTHFCm	ENSG00000065911
MTHFDm	ENSG00000065911 or ENSG00000100714
FOLR2	ENSG00000228716
DHFR	ENSG00000228716
FTHFLi	ENSG00000100714
FTHFDH	ENSG00000136010 or ENSG00000144908
MTHFC	ENSG00000100714
MTHFD	ENSG00000100714 or ENSG00000177000
MTHFD2i	ENSG00000065911 or ENSG00000163738
ACACT1r	ENSG00000120437
HMGCOAS	ENSG00000112972
HMGCOAR	ENSG00000113161
MEVK1	ENSG00000110921
PMEVK	ENSG00000163344
IPDDI	ENSG00000067064 or ENSG00000148377
DPMVD	ENSG00000167508
DMATT	ENSG00000152904
GRTT	ENSG00000152904
HMR_1465	ENSG00000284967
HMR_1467	ENSG00000284967
SMO	ENSG00000104549
LNSTLS	ENSG00000160285
HMR_1477	ENSG00000001630
HMR_1478	ENSG00000001630
HMR_1479	ENSG00000001630
C14STR	ENSG00000143815 or ENSG00000149809
HMR_1490	ENSG00000052802 or ENSG00000170271
HMR_1493	ENSG00000052802 or ENSG00000170271
HMR_1494	ENSG00000052802 or ENSG00000170271
C3STDH1	ENSG00000147383
HMR_1495	ENSG00000147383 or ENSG00000183305
HMR_1500	ENSG00000132196
HMR_1502	ENSG00000052802 or ENSG00000170271
HMR_1503	ENSG00000052802 or ENSG00000170271
HMR_1504	ENSG00000052802 or ENSG00000170271
HMR_1505	ENSG00000147383
HMR_1509	ENSG00000132196
CHLSTI_1	ENSG00000147155
HMR_1516	ENSG00000109929
RE2410C	
DSMSTOLR	
ACCOAC	ENSG00000076555 or ENSG00000278540
FASN	ENSG00000169710
MCAT	ENSG00000169710
AcetoacetylACPsynthesis	ENSG00000169710
r0691	ENSG00000169710
r0681	ENSG00000169710
r0682	ENSG00000169710
r0760	ENSG00000169710
r0761	ENSG00000169710
r0762	ENSG00000169710
r0763	ENSG00000169710
r0764	ENSG00000169710
r0694	ENSG00000169710
r0695	ENSG00000169710
r0765	ENSG00000169710
r0766	ENSG00000169710
r0692	ENSG00000169710
r0693	ENSG00000169710
r0767	ENSG00000169710
r0768	ENSG00000169710
r0769	ENSG00000169710
r0770	ENSG00000169710
r0712	ENSG00000169710
r0713	ENSG00000169710
r0701	ENSG00000169710
r0702	ENSG00000169710
r0771	ENSG00000169710
r0772	ENSG00000169710
r0696	ENSG00000169710
r0697	ENSG00000169710
r0773	ENSG00000169710
FA160ACPH	ENSG00000152463 or ENSG00000169710
TMLYStd	
TMLYSOX	ENSG00000185973
GHMT3	ENSG00000176974
TMABADH	ENSG00000143149
BBHOX	ENSG00000129151
SUCFUMtm	ENSG00000183048
palmitateActivation	ENSG00000068366 or ENSG00000123983 or ENSG00000151726 or ENSG00000164398
carnitineAcylTransferaseI	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
CARN160t_m	ENSG00000178537
carnitineAcylTransferaseII	ENSG00000157184
betaOxidation	ENSG00000072778 and ENSG00000084754 and ENSG00000105379 and ENSG00000115361 and ENSG00000117054 and ENSG00000127884 and ENSG00000138029 and ENSG00000140374 and ENSG00000161533 and ENSG00000167315
Biomass	
GLCt1	ENSG00000059804 or ENSG00000100170 or ENSG00000100191 or ENSG00000105641 or ENSG00000109667 or ENSG00000115665 or ENSG00000117394 or ENSG00000117834 or ENSG00000133460 or ENSG00000136856 or ENSG00000138074 or ENSG00000140675 or ENSG00000142583 or ENSG00000146411 or ENSG00000148942 or ENSG00000151229 or ENSG00000154025 or ENSG00000158865 or ENSG00000160326 or ENSG00000163581 or ENSG00000173262 or ENSG00000181856 or ENSG00000197241 or ENSG00000197496 or ENSG00000198743 or ENSG00000256870
O2t	
GLNt	ENSG00000017483 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000149150 or ENSG00000174358 or ENSG00000188338 or ENSG00000268104 or ( ENSG00000147003 and ENSG00000164363 )
r0963	ENSG00000110195 or ENSG00000110203 or ENSG00000165457
THBPTt	
ARGt5r	ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349 or ENSG00000268104
PHEtec	ENSG00000112394 or ENSG00000149150 or ENSG00000167703
ILEtec	ENSG00000149150 or ENSG00000167703
LEUtec	ENSG00000149150 or ENSG00000167703
VALtec	ENSG00000149150 or ENSG00000167703
METtec	ENSG00000149150 or ENSG00000167703
r2526	ENSG00000017483 or ENSG00000111371 or ENSG00000123643 or ENSG00000134294 or ENSG00000139209 or ENSG00000149150 or ENSG00000268104 or ( ENSG00000130234 and ENSG00000174358 ) or ( ENSG00000147003 and ENSG00000164363 ) or ( ENSG00000147003 and ENSG00000174358 )
GLYt4	ENSG00000017483 or ENSG00000111371 or ENSG00000123643 or ENSG00000134294 or ENSG00000139209 or ENSG00000165970 or ENSG00000186335 or ENSG00000196517 or ENSG00000268104 or ( ENSG00000130234 and ENSG00000174358 ) or ( ENSG00000147003 and ENSG00000164363 ) or ( ENSG00000147003 and ENSG00000174358 )
r2532	ENSG00000017483 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000149150 or ENSG00000188338 or ENSG00000268104 or ( ENSG00000130234 and ENSG00000174358 ) or ( ENSG00000147003 and ENSG00000164363 ) or ( ENSG00000147003 and ENSG00000174358 )
PROPAT4te	ENSG00000123643 or ENSG00000186335
HDCAt	ENSG00000125166 or ENSG00000130304 or ENSG00000135218 or ENSG00000167114
CRNt	ENSG00000197375
GTHRDt2	
DmLact	ENSG00000100156 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000256870
UREAt	ENSG00000132874 or ENSG00000141469
DmBiomass	
NH4t	
PTRCtex2	
GUDACtr2	
CE2705t	ENSG00000112759 or ENSG00000174669
Dm2oxobutyrate	
H2Ot	ENSG00000103375 or ENSG00000135517 or ENSG00000161798 or ENSG00000167580 or ENSG00000171885 or ENSG00000240583
PHLACHt	
CO2t	
DmH2O2	
DmGSSG	
GLUt4	ENSG00000188338
ALAPAT4te	ENSG00000003989 or ENSG00000017483 or ENSG00000111371 or ENSG00000123643 or ENSG00000134294 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349 or ENSG00000180773 or ENSG00000186335 or ENSG00000188338 or ENSG00000268104 or ( ENSG00000130234 and ENSG00000174358 ) or ( ENSG00000147003 and ENSG00000164363 ) or ( ENSG00000147003 and ENSG00000174358 )
DmAla	ENSG00000003989 or ENSG00000017483 or ENSG00000111371 or ENSG00000123643 or ENSG00000134294 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349 or ENSG00000180773 or ENSG00000186335 or ENSG00000188338 or ENSG00000268104 or ( ENSG00000130234 and ENSG00000174358 ) or ( ENSG00000147003 and ENSG00000164363 ) or ( ENSG00000147003 and ENSG00000174358 )
ASPte	ENSG00000079215 or ENSG00000105143 or ENSG00000106688 or ENSG00000110436 or ENSG00000162383
DmAsp	ENSG00000079215 or ENSG00000105143 or ENSG00000106688 or ENSG00000110436 or ENSG00000162383
DmPalm	ENSG00000125166 or ENSG00000130304 or ENSG00000135218 or ENSG00000167114
ATPM	
GACMTRc	ENSG00000130005
CKc_cho	ENSG00000104879 or ENSG00000166165
CRTNsyn_cho	
CRTNtr	
NDPK1	ENSG00000103024 or ENSG00000143156 or ENSG00000172113 or ( ENSG00000239672 and ENSG00000243678 )
NDPK5	ENSG00000103024 or ENSG00000143156 or ENSG00000172113 or ( ENSG00000239672 and ENSG00000243678 )
NDPK8	ENSG00000103024 or ENSG00000143156 or ENSG00000172113 or ( ENSG00000239672 and ENSG00000243678 )
NDPK7	ENSG00000103024 or ENSG00000143156 or ENSG00000172113 or ( ENSG00000239672 and ENSG00000243678 )
DTMPK	
NDPK4	ENSG00000103024 or ENSG00000143156 or ENSG00000172113 or ( ENSG00000239672 and ENSG00000243678 )
HIStiDF	ENSG00000139209
PTRCOX1	ENSG00000002726 or ENSG00000131471 or ENSG00000131480
ABUTD	
r0465_1	ENSG00000172508
ABUTH	ENSG00000103375 or ENSG00000135517 or ENSG00000161798 or ENSG00000167580 or ENSG00000171885 or ENSG00000240583
GLUDC	
HISDr	ENSG00000084110
URCN	ENSG00000103375 or ENSG00000135517 or ENSG00000161798 or ENSG00000167580 or ENSG00000171885 or ENSG00000240583
IZPN	ENSG00000139344
GluForTx	
FTCD	ENSG00000160282
CARPEPT1tc	ENSG00000088386
NBAHH_ir	ENSG00000103375 or ENSG00000135517 or ENSG00000161798 or ENSG00000167580 or ENSG00000171885 or ENSG00000240583
r0283	ENSG00000172508
ASP1DC	ENSG00000128683
CSNt	ENSG00000174669
bAlaSynthesis	
LYSt5r	ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349
LYStm	ENSG00000102743 or ENSG00000120329
SACCD3m	ENSG00000008311
r0525	ENSG00000008311
AASAD3m	
r0450	ENSG00000109576
2OXOADOXm	ENSG00000091140 and ENSG00000105953 and ENSG00000110435 and ENSG00000119689
GLUTCOADHm	ENSG00000105607
3HBCDm	ENSG00000121310
HACD1m	
HMGCOASm	ENSG00000134240
CYStec	ENSG00000167703
CYSTA	ENSG00000120053
CYANt	
MCPST	ENSG00000128309
TCYNTt	
CYSO	ENSG00000129596
3SALATAi	ENSG00000120053
3SALAASPm	ENSG00000004864 or ENSG00000115840
3SALATAim	ENSG00000125166
3SPYRSP	
3SPYRSPm	
HMR_3951	
ExSulfitem	
PHETHPTOX2	
TYRt	ENSG00000112394
TYRTA	ENSG00000120053 or ENSG00000198650
34HPPOR	ENSG00000158104
HGNTOR	ENSG00000113924
MACACI	ENSG00000100577
FUMAC	ENSG00000103876
AACOAT	ENSG00000081760
r2534	ENSG00000149150
THRD_L	
OBDHc	
PPCOAtm	
r1616	ENSG00000103257
TRPO2	
FKYNH	
KYN	ENSG00000115919
ANTHte	
KYN3OX	ENSG00000117009
HKYNH	ENSG00000115919
3HAO	ENSG00000162882
PCLAD	ENSG00000153086
AM6SAD	
AMCOXO	
2OXOADPTm	ENSG00000183032
ExCystineGlu	
ExCystineSer	
CystinePyruvate	
CystineReductaseNADPH	ENSG00000184470 or ENSG00000198431
CystineReductaseNADH	
CystineGSH	
Ex3HB	
Transport3HB_forward	
bBDH	
OCOAT1m	ENSG00000083720 or ENSG00000198754
ACACT1m	ENSG00000075239 or ( ENSG00000084754 and ENSG00000138029 )
G3PD1ir	ENSG00000167588
GLYC3Ptm	
G3PDm	
DHAPtm	
CMPuptake	
UMPuptake	
Transport_ala_B_c_e	
EX_ala_B	
Transport_octanoyl_ACP_c_e	
EX_octanoyl_ACP	
TMDK1	ENSG00000166548 or ENSG00000167900
THYMDt1	ENSG00000112759 or ENSG00000174669
EX_thymd	
Transport_HC00576_c_e	
EX_HC00576	
Transport_4abut_c_e	
EX_4abut	
